sheet,pertanyaan,reference,candidate,rouge1_p,rouge1_r,rouge1_f,rouge2_p,rouge2_r,rouge2_f,rougeL_p,rougeL_r,rougeL_f
Sheet1,anak usia 5-14 tahun menderita anemia dengan presentase berapa?,"anak usia 5-14 tahun menderita anemia 26,4%","prevalensi anemia pada perempuan usia ≥15 tahun sebesar 22,7%",0.3,0.3333333333333333,0.3157894736842105,0.0,0.0,0.0,0.2,0.2222222222222222,0.2105263157894737
Sheet1,anak usia 15-24 tahun menderita anemia dengan presentase berapa?,"anak usia 15-24 tahun menderita anemia 16,4%","anak usia 5-14 tahun menderita anemia 26,4% dan usia",0.5454545454545454,0.6666666666666666,0.6,0.3,0.375,0.33333333333333326,0.5454545454545454,0.6666666666666666,0.6
Sheet1,apa itu anemia?,Anemia adalah suatu kondisi tubuh dimana kadar hemoglobin (Hb) dalam sel darah merah lebih rendah dari standar yang seharusnya.,BUKU SAKU PENCEGAHAN ANEMIA PADA IBU HAMIL DAN REMAJA PUTRI,0.1,0.05263157894736842,0.06896551724137931,0.0,0.0,0.0,0.1,0.05263157894736842,0.06896551724137931
Sheet1,sumber utama vitamin a adalah?,Sumber utama vitamin A adalah minyak ikan dan hati sapi,Vitamin A: Sumber utama vitamin A adalah minyak ikan dan hati sapi.,0.8333333333333334,1.0,0.9090909090909091,0.8181818181818182,1.0,0.9,0.8333333333333334,1.0,0.9090909090909091
Sheet1,apa sumber utama vitamin e?,"Minyak sayur seperti minyak kelapa, minyak kelapa sawit, dan minyak kacang kedelai.","Vitamin E: Minyak sayur seperti minyak kelapa, minyak kelapa sawit, dan minyak kacang",0.8461538461538461,0.9166666666666666,0.8799999999999999,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.8461538461538461,0.9166666666666666,0.8799999999999999
Sheet1,prevalensi anemia pada ibu hamil adalah?,"Prevalensi anemia pada ibu hamil di Indonesia adalah 48,9% berdasarkan Riskesdas 2018",BUKU SAKU PENCEGAHAN ANEMIA PADA IBU HAMIL DAN REMAJA PUTRI,0.4,0.3076923076923077,0.34782608695652173,0.3333333333333333,0.25,0.28571428571428575,0.4,0.3076923076923077,0.34782608695652173
Sheet1,prevalensi anemia pada usia 5-14 adalah?,"Prevalensi anemia pada usia 5-14 tahun adalah 26,8% menurut Riskesdas 2018","prevalensi anemia pada perempuan usia ≥15 tahun sebesar 22,7%",0.5,0.38461538461538464,0.4347826086956522,0.2222222222222222,0.16666666666666666,0.1904761904761905,0.5,0.38461538461538464,0.4347826086956522
Sheet1,prevalensi anemia pada usia 15-24 adalah?,Prevalensi anemia pada usia 15-24 tahun adalah 32% berdasarkan Riskesdas 2018,"prevalensi anemia pada perempuan usia ≥15 tahun sebesar 22,7%",0.6,0.5,0.5454545454545454,0.3333333333333333,0.2727272727272727,0.3,0.6,0.5,0.5454545454545454
Sheet1,Salah satu target prioritas nasional dalam RPJMN 2020-2024 adalah?,Salah satu target prioritas nasional dalam RPJMN 2020-2024 adalah menurunkan stunting menjadi 14% pada tahun 2024.,putri (Rematri) merupakan salah satu pelayanan gizi,0.2857142857142857,0.11764705882352941,0.16666666666666666,0.16666666666666666,0.0625,0.09090909090909091,0.2857142857142857,0.11764705882352941,0.16666666666666666
Sheet1,Apakah TTD bahaya jika di konsumsi secara terus menerus?,TTD tidak berbahaya dan aman dikonsumsi oleh ibu hamil dan remaja putri secara rutin karena Tubuh akan secara otomatis menyerap zat besi yang dikonsumsi jika tubuh kekurangan zat besi.,"Namun, konsumsi TTD secara terus menerus perlu",0.2857142857142857,0.06896551724137931,0.1111111111111111,0.0,0.0,0.0,0.2857142857142857,0.06896551724137931,0.1111111111111111
Sheet1,prevalensi anemia pada WUS usia 15 je atas sebesar?,"prevalensi anemia pada WUS usia  15 tahun ke atas sebesar  22,7%,","prevalensi anemia pada perempuan usia ≥15 tahun sebesar 22,7%",0.9,0.75,0.8181818181818182,0.6666666666666666,0.5454545454545454,0.6,0.9,0.75,0.8181818181818182
Sheet1,prevalensi anemia pada ibu hamil sebesar berapa?,pada ibu hamil sebesar 37.1%,"sedangkan prevalensi anemia pada ibu hamil sebesar 37,1%.",0.6666666666666666,1.0,0.8,0.625,1.0,0.7692307692307693,0.6666666666666666,1.0,0.8
Sheet1,tujuan umum program penanggulangan anemia pada rematri dan wus adalah?,Menurunkan prevalensi anemia pada remaja dan WUS,anemia pada rematri dan WUS adalah cakupan program anemia pada,0.4,0.5714285714285714,0.47058823529411764,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.4,0.5714285714285714,0.47058823529411764
Sheet1,data skrt tahun 2001 menunjukan bawa prevelensi pada anemia berapa persen?,Data SKRT tahun 2001 menunjukkan bahwa prevalensi anemia pada remaja (usia 10-19 tahun) sebesar 30%.,55 BUKU SAKU PENCEGAHAN ANEMIA PADA IBU HAMIL DAN REMAJA PUTRI Lampiran 4. Contoh menu dalam 1 kali Makan Kemenkes RI 26 BUKU SAKU PENCEGAHAN ANEMIA PADA IBU HAMIL DAN REMAJA PUTRI B.,0.09090909090909091,0.1875,0.12244897959183672,0.03125,0.06666666666666667,0.0425531914893617,0.09090909090909091,0.1875,0.12244897959183672
Sheet1,apa resiko penderita anemia ketika menjadi ibu hamil?,rematri yang menderita anemia ketika menjadi ibu hamil berisiko melahirkan berat bayi lahir rendah dan stunting,BUKU SAKU PENCEGAHAN ANEMIA PADA IBU HAMIL DAN REMAJA PUTRI,0.4,0.25,0.3076923076923077,0.1111111111111111,0.06666666666666667,0.08333333333333334,0.4,0.25,0.3076923076923077
