Sumber,Pertanyaan,Jawaban
BukuSakuPencegahanAnemiaPadaIbuHamildanRematri_12x15cm_24Mar_2_1.pdf,Apa definisi anemia?,Anemia adalah kondisi tubuh yang ditandai dengan hasil pemeriksaan kadar hemoglobin (Hb) dalam darah lebih rendah dari normal.
buku_tablet_tambah_darah.pdf,Kapan remaja putri dikatakan anemia?,Remaja putri dikatakan anemia apabila kadar Hb kurang dari 12 gr/dl.
buku_tablet_tambah_darah.pdf,Apa fungsi hemoglobin dalam tubuh?,Hemoglobin berfungsi untuk mengikat oksigen dan menghantarkan oksigen ke seluruh sel jaringan tubuh termasuk otot dan otak.
BukuSakuPencegahanAnemiaPadaIbuHamildanRematri_12x15cm_24Mar_2_1.pdf,Apa saja gejala 5L pada anemia?,Gejala 5L pada anemia adalah lesu letih lemah lelah dan lalai.
BukuSakuPencegahanAnemiaPadaIbuHamildanRematri_12x15cm_24Mar_2_1.pdf,Apa penyebab umum anemia?,Anemia secara umum disebabkan oleh kekurangan asupan zat gizi keluarnya darah dalam jumlah banyak atau perdarahan dan faktor keturunan seperti thalassemia.
BukuSakuPencegahanAnemiaPadaIbuHamildanRematri_12x15cm_24Mar_2_1.pdf,Mengapa remaja putri berisiko mengalami anemia?,Remaja putri berisiko mengalami anemia karena kebutuhan zat besi meningkat pada masa pertumbuhan kehilangan darah setiap bulan melalui menstruasi dan sebagian melakukan pola diet yang salah.
BukuSakuPencegahanAnemiaPadaIbuHamildanRematri_12x15cm_24Mar_2_1.pdf,Apa dampak jangka pendek anemia?,Dampak jangka pendek anemia adalah menurunnya produktivitas kebugaran dan daya tahan tubuh.
buku_tablet_tambah_darah.pdf,Bagaimana upaya pencegahan anemia pada remaja putri?,Upaya pencegahan anemia dilakukan dengan konsumsi makanan bergizi seimbang makan cukup buah dan sayur minum TTD secara teratur 1 tablet tiap minggu dan memeriksa kadar Hb.
BukuSakuPencegahanAnemiaPadaIbuHamildanRematri_12x15cm_24Mar_2_1.pdf,Apa kandungan Tablet Tambah Darah?,Tablet Tambah Darah mengandung zat besi setara 60 mg besi elemental dan 400 mcg asam folat.
BukuSakuPencegahanAnemiaPadaIbuHamildanRematri_12x15cm_24Mar_2_1.pdf,Siapa sasaran pemberian TTD pada remaja putri?,Sasaran pemberian TTD pada remaja putri adalah semua remaja putri kelas 7 sampai 12 atau usia 12 sampai 18 tahun secara blanket approach tanpa melihat status anemia.
BukuSakuPencegahanAnemiaPadaIbuHamildanRematri_12x15cm_24Mar_2_1.pdf,Berapa dosis TTD untuk remaja putri?,Dosis TTD untuk remaja putri adalah 1 tablet setiap minggu sepanjang tahun.
buku_tablet_tambah_darah.pdf,Bagaimana cara minum TTD agar lebih efektif?,Agar TTD lebih efektif konsumsi TTD disertai makanan bergizi seimbang cukup protein dan kaya zat besi minum dengan air putih konsumsi buah sumber vitamin C dan jangan minum TTD dengan teh kopi atau susu.
BukuSakuPencegahanAnemiaPadaIbuHamildanRematri_12x15cm_24Mar_2_1.pdf,Apa yang sebaiknya tidak diminum dekat waktu konsumsi TTD?,Teh kopi susu kalk atau tablet kalsium dan obat sakit maag sebaiknya diminum dua jam sebelum atau sesudah mengonsumsi TTD.
BukuSakuPencegahanAnemiaPadaIbuHamildanRematri_12x15cm_24Mar_2_1.pdf,Apakah mual dan tinja hitam setelah minum TTD berbahaya?,Gejala seperti mual nyeri lambung diare konstipasi dan tinja berwarna hitam setelah konsumsi TTD tidak berbahaya dan biasanya semakin ringan.
BukuSakuPencegahanAnemiaPadaIbuHamildanRematri_12x15cm_24Mar_2_1.pdf,Berapa prevalensi anemia pada ibu hamil dan remaja usia 15-24 tahun berdasarkan Riskesdas 2018?,Berdasarkan Riskesdas 2018 prevalensi anemia pada ibu hamil adalah 48.9 persen dan pada usia 15-24 tahun adalah 32 persen.
